fixture	records	unmapped
call_indirect.wasm	4	0
call_indirect_typed.wasm	33	0
fib.wasm	16954	393
hash.wasm	17039	393
hash2b.wasm	17039	393
jit_bits.wasm	14	2
jit_block.wasm	11	0
jit_brtable.wasm	3	0
jit_call_result.wasm	13	0
jit_convert.wasm	8	1
jit_copysign.wasm	6	0
jit_f32.wasm	5	0
jit_f64.wasm	5	0
jit_fcmp.wasm	20	0
jit_funary.wasm	7	0
jit_grid_indirect_a1_d0_r0.wasm	9	0
jit_grid_indirect_a1_d0_r1.wasm	8	0
jit_grid_indirect_a1_d3_r0.wasm	13	0
jit_grid_indirect_a1_d3_r1.wasm	14	0
jit_grid_indirect_a2_d0_r0.wasm	12	0
jit_grid_indirect_a2_d0_r1.wasm	11	0
jit_grid_indirect_a2_d3_r0.wasm	16	0
jit_grid_indirect_a2_d3_r1.wasm	17	0
jit_grid_indirect_a3_d0_r0.wasm	15	0
jit_grid_indirect_a3_d0_r1.wasm	14	0
jit_grid_indirect_a3_d3_r0.wasm	19	0
jit_grid_indirect_a3_d3_r1.wasm	20	0
jit_grid_indirect_a4_d0_r0.wasm	18	0
jit_grid_indirect_a4_d0_r1.wasm	17	0
jit_grid_indirect_a4_d3_r0.wasm	22	0
jit_grid_indirect_a4_d3_r1.wasm	23	0
jit_grid_real_a1_d3_r1.wasm	15	0
jit_grid_real_a3_d3_r1.wasm	21	0
jit_i64t.wasm	14	0
jit_ifd.wasm	29	2
jit_indirect2.wasm	19	0
jit_inline.wasm	11	0
jit_mem.wasm	15	1
jit_memwidth.wasm	15	0
jit_minmax.wasm	4	0
jit_nested_call.wasm	25	0
jit_nonleaf.wasm	15	0
jit_proc_exit.wasm	16	0
jit_rot.wasm	9	1
jit_select.wasm	11	0
jit_signed.wasm	21	0
reinterpret.wasm	3	1
simd_family.wasm	16	3
simd_float.wasm	9	1
wart_arithmetic_bench.wasm	15	0
wart_complete_opcode_bench.wasm	9	0
wart_comprehensive_bench.wasm	34	1
wart_comprehensive_opcode_bench.wasm	387	19
wart_compute_bench.wasm	21	0
wart_core_i32_compute.wasm	11	0
wart_f32_bench.wasm	97	0
wart_f64_bench.wasm	124	2
wart_i64_bench.wasm	78	0
wart_mixed_type_bench.wasm	156	9
wart_omni_opcode_wasi_bench.wasm	475	27
wart_opcode_test_simple.wasm	19	0
wart_simple.wasm	6	0
wart_simple_bench.wasm	25	0
wart_simple_opcode_bench.wasm	32	0
wart_wasi_preview1_comprehensive.wasm	15	0
wart_wasix_extended.wasm	15	0
