fixture	bodies	instr	locals	match
call_indirect.wasm	4	9	0	MATCH
call_indirect_typed.wasm	5	52	2	MATCH
fib.wasm	203	27564	1028	MATCH
hash.wasm	202	27658	1030	MATCH
hash2b.wasm	202	27658	1030	MATCH
jit_bits.wasm	1	17	0	MATCH
jit_block.wasm	1	23	2	MATCH
jit_brtable.wasm	1	9	2	MATCH
jit_call_result.wasm	3	17	0	MATCH
jit_convert.wasm	1	23	0	MATCH
jit_copysign.wasm	1	13	0	MATCH
jit_f32.wasm	1	10	0	MATCH
jit_f64.wasm	1	10	0	MATCH
jit_fcmp.wasm	1	28	0	MATCH
jit_funary.wasm	1	21	0	MATCH
jit_grid_indirect_a1_d0_r0.wasm	3	15	0	MATCH
jit_grid_indirect_a1_d0_r1.wasm	3	13	0	MATCH
jit_grid_indirect_a1_d3_r0.wasm	3	19	0	MATCH
jit_grid_indirect_a1_d3_r1.wasm	3	19	0	MATCH
jit_grid_indirect_a2_d0_r0.wasm	3	18	0	MATCH
jit_grid_indirect_a2_d0_r1.wasm	3	16	0	MATCH
jit_grid_indirect_a2_d3_r0.wasm	3	22	0	MATCH
jit_grid_indirect_a2_d3_r1.wasm	3	22	0	MATCH
jit_grid_indirect_a3_d0_r0.wasm	3	21	0	MATCH
jit_grid_indirect_a3_d0_r1.wasm	3	19	0	MATCH
jit_grid_indirect_a3_d3_r0.wasm	3	25	0	MATCH
jit_grid_indirect_a3_d3_r1.wasm	3	25	0	MATCH
jit_grid_indirect_a4_d0_r0.wasm	3	24	0	MATCH
jit_grid_indirect_a4_d0_r1.wasm	3	22	0	MATCH
jit_grid_indirect_a4_d3_r0.wasm	3	28	0	MATCH
jit_grid_indirect_a4_d3_r1.wasm	3	28	0	MATCH
jit_grid_real_a1_d3_r1.wasm	3	19	0	MATCH
jit_grid_real_a3_d3_r1.wasm	3	25	0	MATCH
jit_i64t.wasm	1	24	2	MATCH
jit_ifd.wasm	1	38	2	MATCH
jit_indirect2.wasm	5	28	0	MATCH
jit_inline.wasm	2	20	2	MATCH
jit_mem.wasm	1	19	0	MATCH
jit_memwidth.wasm	1	18	0	MATCH
jit_minmax.wasm	1	8	0	MATCH
jit_nested_call.wasm	2	47	4	MATCH
jit_nonleaf.wasm	3	20	2	MATCH
jit_proc_exit.wasm	1	21	0	MATCH
jit_rot.wasm	1	13	0	MATCH
jit_select.wasm	1	15	0	MATCH
jit_signed.wasm	1	25	0	MATCH
reinterpret.wasm	1	10	0	MATCH
simd_family.wasm	1	250	1	DIFF idol=1/250/1
simd_float.wasm	1	231	0	MATCH
wart_arithmetic_bench.wasm	2	28	3	MATCH
wart_complete_opcode_bench.wasm	3	28	11	MATCH
wart_comprehensive_bench.wasm	2	56	3	MATCH
wart_comprehensive_opcode_bench.wasm	10	614	17	MATCH
wart_compute_bench.wasm	2	39	4	MATCH
wart_core_i32_compute.wasm	1	20	2	MATCH
wart_f32_bench.wasm	4	215	12	MATCH
wart_f64_bench.wasm	5	266	16	MATCH
wart_i64_bench.wasm	3	152	8	MATCH
wart_mixed_type_bench.wasm	8	290	27	MATCH
wart_omni_opcode_wasi_bench.wasm	13	985	20	MATCH
wart_opcode_test_simple.wasm	5	32	0	MATCH
wart_simple.wasm	2	8	0	MATCH
wart_simple_bench.wasm	2	47	4	MATCH
wart_simple_opcode_bench.wasm	3	55	1	MATCH
wart_wasi_preview1_comprehensive.wasm	1	21	2	MATCH
wart_wasix_extended.wasm	1	21	2	MATCH
