fixture	functions	fully-decoded	apps
bench/call_indirect.wasm	4	4	4
bench/call_indirect_typed.wasm	5	4	12
bench/fib.wasm	203	48	1022
bench/hash.wasm	202	48	1077
bench/hash2b.wasm	202	48	1077
bench/jit_bits.wasm	1	0	0
bench/jit_block.wasm	1	1	14
bench/jit_brtable.wasm	1	1	10
bench/jit_call_result.wasm	3	3	11
bench/jit_convert.wasm	1	0	0
bench/jit_copysign.wasm	1	0	0
bench/jit_f32.wasm	1	0	0
bench/jit_f64.wasm	1	0	0
bench/jit_fcmp.wasm	1	0	0
bench/jit_funary.wasm	1	0	0
bench/jit_grid_indirect_a1_d0_r0.wasm	3	3	9
bench/jit_grid_indirect_a1_d0_r1.wasm	3	3	8
bench/jit_grid_indirect_a1_d3_r0.wasm	3	3	13
bench/jit_grid_indirect_a1_d3_r1.wasm	3	3	14
bench/jit_grid_indirect_a2_d0_r0.wasm	3	3	12
bench/jit_grid_indirect_a2_d0_r1.wasm	3	3	11
bench/jit_grid_indirect_a2_d3_r0.wasm	3	3	16
bench/jit_grid_indirect_a2_d3_r1.wasm	3	3	17
bench/jit_grid_indirect_a3_d0_r0.wasm	3	3	15
bench/jit_grid_indirect_a3_d0_r1.wasm	3	3	14
bench/jit_grid_indirect_a3_d3_r0.wasm	3	3	19
bench/jit_grid_indirect_a3_d3_r1.wasm	3	3	20
bench/jit_grid_indirect_a4_d0_r0.wasm	3	3	18
bench/jit_grid_indirect_a4_d0_r1.wasm	3	3	17
bench/jit_grid_indirect_a4_d3_r0.wasm	3	3	22
bench/jit_grid_indirect_a4_d3_r1.wasm	3	3	23
bench/jit_grid_real_a1_d3_r1.wasm	3	3	13
bench/jit_grid_real_a3_d3_r1.wasm	3	3	19
bench/jit_i64t.wasm	1	0	0
bench/jit_ifd.wasm	1	0	0
bench/jit_indirect2.wasm	5	5	19
bench/jit_inline.wasm	2	2	11
bench/jit_mem.wasm	1	0	0
bench/jit_memwidth.wasm	1	1	17
bench/jit_minmax.wasm	1	0	0
bench/jit_nested_call.wasm	2	0	0
bench/jit_nonleaf.wasm	3	3	13
bench/jit_proc_exit.wasm	1	1	15
bench/jit_rot.wasm	1	0	0
bench/jit_select.wasm	1	1	14
bench/jit_signed.wasm	1	0	0
bench/reinterpret.wasm	1	0	0
bench/simd_family.wasm	1	0	0
bench/simd_float.wasm	1	0	0
bench/wart_arithmetic_bench.wasm	2	1	1
bench/wart_complete_opcode_bench.wasm	3	2	2
bench/wart_comprehensive_bench.wasm	2	1	1
bench/wart_comprehensive_opcode_bench.wasm	10	3	15
bench/wart_compute_bench.wasm	2	1	1
bench/wart_core_i32_compute.wasm	1	1	13
bench/wart_f32_bench.wasm	4	0	0
bench/wart_f64_bench.wasm	5	0	0
bench/wart_i64_bench.wasm	3	0	0
bench/wart_mixed_type_bench.wasm	8	0	0
bench/wart_omni_opcode_wasi_bench.wasm	13	5	38
bench/wart_opcode_test_simple.wasm	5	2	7
bench/wart_simple.wasm	2	2	5
bench/wart_simple_bench.wasm	2	0	0
bench/wart_simple_opcode_bench.wasm	3	2	5
bench/wart_wasi_preview1_comprehensive.wasm	1	1	15
bench/wart_wasix_extended.wasm	1	1	15
