# schema	grammar-role-v2
# authority	fnv1a64:96ce8b5a8c7477c0
slot	kind	spelling	begin	prefix	postfix	parameter	literal	quoted	projection	body	descriptor	pattern	binary	precedence	assoc	compat
0	name	name	1	0	0	0	0	0	0	1	0	1	0	0	0	0
1	int_lit	integer	1	0	0	0	1	0	0	1	0	1	0	0	0	0
2	float_lit	float	1	0	0	0	1	0	0	1	0	1	0	0	0	0
3	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	kw_and	and	0	0	0	0	0	0	0	0	0	0	1	4	1	1
5	kw_break	break	0	0	0	0	0	0	0	1	0	0	0	0	0	0
6	kw_continue	continue	0	0	0	0	0	0	0	1	0	0	0	0	0	0
7	kw_do	do	0	0	0	0	0	0	0	1	0	0	0	0	0	1
8	kw_else	else	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	kw_elseif	elseif	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10	kw_end	end	0	0	0	0	0	0	0	0	0	0	0	0	0	1
11	kw_false	false	1	0	0	0	0	0	0	1	0	1	0	0	0	1
12	kw_for	for	0	0	0	0	0	0	0	1	0	0	0	0	0	0
13	kw_function	function	0	0	0	0	0	0	0	1	0	0	0	0	0	1
14	kw_fun	fun	0	0	0	0	0	0	0	1	0	0	0	0	0	1
15	kw_global	global	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	kw_goto	goto	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	kw_if	if	0	0	0	0	0	0	0	1	0	0	0	0	0	0
18	kw_in	in	0	0	0	0	0	0	0	0	0	0	1	6	3	0
19	kw_local	local	0	0	0	0	0	0	0	0	0	0	0	0	0	1
20	kw_nil	nil	1	0	0	0	0	0	0	1	0	1	0	0	0	1
21	kw_not	not	1	1	0	0	0	0	0	1	0	0	0	9	0	0
22	kw_or	or	0	0	0	0	0	0	0	0	0	0	1	2	1	1
23	kw_repeat	repeat	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	kw_return	return	0	0	0	0	0	0	0	1	0	0	0	0	0	0
25	kw_then	then	0	0	0	0	0	0	0	0	0	0	0	0	0	1
